STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/30/2000,,,,,0.04,0,0,70,20,28
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/1/2000,,,,,0,0,0,60,27,50
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/2/2000,,,,,0,0,0,72,27,45
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/3/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/4/2000,,,,,0,0,0,73,33,49
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/5/2000,,,,,0,0,0,66,41,47
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/6/2000,,,,,0.11,0,0,47,29,33
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/7/2000,,,,,1.03,0,0,48,31,37
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/8/2000,,,,,0.08,0,0,42,31,34
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/9/2000,,,,,0.25,0,0,53,34,40
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/10/2000,,,,,0.05,0,0,52,35,41
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/11/2000,,,,,0.06,0,0,55,25,26
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/12/2000,,,,,0.15,0,0,36,22,26
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/13/2000,,,,,0,0,0,46,26,34
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/14/2000,,,,,0,0,0,57,33,54
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/15/2000,,,,,0,0,0,65,36,39
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/16/2000,,,,,0,0,0,66,33,43
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/17/2000,,,,,0.08,0,0,67,35,39
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/18/2000,,,,,0,0,0,55,28,38
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/19/2000,,,,,0,0,0,64,38,44
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/20/2000,,,,,0.12,0,0,65,32,41
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/21/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/22/2000,,,,,0,0,0,71,40,53
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/23/2000,,,,,0,0,0,71,45,47
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/24/2000,,,,,0,0,0,71,46,50
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/25/2000,,,,,0,0,0,69,44,54
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/26/2000,,,,,0.23,0,0,69,44,48
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/27/2000,,,,,0,0,0,64,38,50
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/28/2000,,,,,0.4,0,0,69,38,61
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/29/2000,,,,,0,0,0,69,48,64
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/30/2000,,,,,0,0,0,68,33,40
USC00109065,"TETONIA EXPERIMENT STATION, ID US",5/31/2000,,,,,0,0,0,70,40,44
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/1/2000,,,,,0,0,0,55,27,35
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/2/2000,,,,,0,0,0,65,31,45
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/3/2000,,,,,0,0,0,78,42,63
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/4/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/5/2000,,,,,0,0,0,78,38,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/6/2000,,,,,0,0,0,85,46,53
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/7/2000,,,,,0,0,0,80,42,55
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/8/2000,,,,,0,0,0,81,49,68
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/9/2000,,,,,0,0,0,77,43,45
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/10/2000,,,,,0,0,0,62,39,48
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/11/2000,,,,,0.17,0,0,66,42,58
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/12/2000,,,,,0,0,0,58,45,56
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/13/2000,,,,,0.22,0,0,60,44,51
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/14/2000,,,,,0,0,0,65,39,47
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/15/2000,,,,,0,0,0,74,47,59
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/16/2000,,,,,0,0,0,66,31,37
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/17/2000,,,,,0,0,0,61,31,53
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/18/2000,,,,,0,0,0,77,39,66
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/19/2000,,,,,,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/20/2000,,,,,0.47,0,0,66,31,33
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/21/2000,,,,,0,0,0,63,33,41
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/22/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/23/2000,,,,,0,0,0,80,41,65
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/24/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/25/2000,,,,,0,0,0,77,43,62
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/26/2000,,,,,0,0,0,71,36,45
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/27/2000,,,,,0,0,0,75,39,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/28/2000,,,,,0,0,0,71,39,48
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/29/2000,,,,,0,0,0,77,39,48
USC00109065,"TETONIA EXPERIMENT STATION, ID US",6/30/2000,,,,,0,0,0,77,39,55
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/1/2000,,,,,0,0,0,84,49,55
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/2/2000,,,,,0,0,0,78,45,75
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/3/2000,,,,,0,0,0,79,40,61
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/4/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/5/2000,,,,,0,0,0,78,38,47
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/6/2000,,,,,0,0,0,78,40,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/7/2000,,,,,0,0,0,73,43,49
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/8/2000,,,,,0,0,0,78,43,49
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/9/2000,,,,,0.25,0,0,82,47,62
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/10/2000,,,,,0,0,0,78,44,48
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/11/2000,,,,,0.16,0,0,78,43,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/12/2000,,,,,0,0,0,80,43,52
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/13/2000,,,,,0,0,0,84,50,56
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/14/2000,,,,,0,0,0,87,49,55
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/15/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/16/2000,,,,,0,0,0,88,49,84
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/17/2000,,,,,0.11,0,0,84,55,55
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/18/2000,,,,,0.07,0,0,76,46,50
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/19/2000,,,,,0,0,0,75,42,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/20/2000,,,,,0,0,0,78,43,47
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/21/2000,,,,,0,0,0,78,42,47
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/22/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/23/2000,,,,,0,0,0,89,43,75
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/24/2000,,,,,0,0,0,85,43,54
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/25/2000,,,,,0,0,0,85,43,52
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/26/2000,,,,,0,0,0,84,51,58
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/27/2000,,,,,0,0,0,79,51,59
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/28/2000,,,,,0,0,0,84,47,55
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/29/2000,,,,,0,0,0,89,51,85
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/30/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",7/31/2000,,,,,0,0,0,93,50,56
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/1/2000,,,,,0,0,0,92,53,63
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/2/2000,,,,,0,0,0,88,55,57
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/3/2000,,,,,0,0,0,86,57,64
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/4/2000,,,,,0,0,0,85,53,56
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/5/2000,,,,,0.2,0,0,77,49,63
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/6/2000,,,,,0.07,0,0,78,45,65
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/7/2000,,,,,0,0,0,80,45,54
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/8/2000,,,,,0,0,0,82,45,49
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/9/2000,,,,,0,0,0,85,49,56
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/10/2000,,,,,0,0,0,87,49,61
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/11/2000,,,,,0.02,0,0,82,55,64
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/12/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/13/2000,,,,,0,0,0,82,40,75
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/14/2000,,,,,0,0,0,75,43,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/15/2000,,,,,0,0,0,79,43,53
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/16/2000,,,,,0,0,0,85,45,48
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/17/2000,,,,,0,0,0,82,44,49
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/18/2000,,,,,0,0,0,85,46,65
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/19/2000,,,,,0.2,0,0,79,48,67
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/20/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/21/2000,,,,,0,0,0,72,38,42
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/22/2000,,,,,0,0,0,75,39,47
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/23/2000,,,,,0,0,0,83,46,58
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/24/2000,,,,,0,0,0,84,55,56
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/25/2000,,,,,0,0,0,82,49,54
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/26/2000,,,,,0,0,0,84,49,71
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/27/2000,,,,,0,0,0,76,46,66
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/28/2000,,,,,0,0,0,80,49,51
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/29/2000,,,,,0,0,0,78,42,55
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/30/2000,,,,,0,0,0,81,46,62
USC00109065,"TETONIA EXPERIMENT STATION, ID US",8/31/2000,,,,,0.01,0,0,65,42,47
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/1/2000,,,,,0.16,0,0,71,47,50
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/2/2000,,,,,0.2,0,0,65,40,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/3/2000,,,,,0.03,0,0,63,33,51
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/4/2000,,,,,0,0,0,76,35,65
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/5/2000,,,,,0,0,0,65,42,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/6/2000,,,,,0,0,0,65,33,42
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/7/2000,,,,,0.12,0,0,56,28,32
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/8/2000,,,,,0,0,0,69,31,38
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/9/2000,,,,,0,0,0,71,38,51
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/10/2000,,,,,,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/11/2000,,,,,0.05,0,0,70,34,45
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/12/2000,,,,,0,0,0,67,39,42
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/13/2000,,,,,0,0,0,75,42,50
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/14/2000,,,,,0,0,0,79,41,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/15/2000,,,,,0,0,0,84,43,50
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/16/2000,,,,,0,0,0,86,45,76
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/17/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/18/2000,,,,,0,0,0,85,40,43
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/19/2000,,,,,0.05,0,0,71,42,50
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/20/2000,,,,,0.13,0,0,63,26,28
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/21/2000,,,,,0,0,0,61,41,42
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/22/2000,,,,,0,0,0,55,30,31
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/23/2000,,,,,0.11,0,0,38,25,31
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/24/2000,,,,,0,0,0,43,19,34
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/25/2000,,,,,0,0,0,51,23,25
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/26/2000,,,,,0,0,0,59,24,29
USC00109065,"TETONIA EXPERIMENT STATION, ID US",9/27/2000,,,,,0,0,0,65,27,30
